job_class,sum
技术支持工程师,1
会计助理,1
课程顾问销售代表,1
办事处/分公司/分支机构经理,2
保安经理/主管,1
绿化工,1
数据分析经理/主管,3
电镀工生产经理/主管,1
固废工程师/技术员,1
编辑导演/编导,1
贸易/外贸专员,2
店员/营业员,8
电子元器件工程师/技术员,4
塑料工程师/技术员,1
包装工,3
汽车试验工程师/技术员,5
编辑,1
钣金工,3
车联网工程师/技术员,1
建筑项目助理,3
美容师,2
安检员,1
维修经理/主管,5
信息流优化师,1
风险管理/控制,17
环境影响评价工程师/技术员,1
动力总成工程师/技术员,1
司仪婚礼/庆典策划服务,1
家政服务/保姆,1
外语老师,1
仓储管理员,1
进出口/信用证结算,4
机器人调试工程师/技术员,6
移动产品经理/主管,1
投资银行业务,1
规划与设计项目经理/主管,1
主播/主持人,3
直播销售,6
情报信息分析人员,3
资金专员/助理,6
医疗器械维修人员,1
西餐厨师,1
供应链总监,9
理疗师,4
合同管理,2
西点师,1
餐饮服务员,3
电池工程师/技术员,1
大堂经理/主管,1
首席财务官 CFO,8
叉车司机/铲车司机,5
幼教,1
仪表工,1
Hadoop工程师/技术员,2
融资专员/助理,1
汽车标定工程师/技术员,3
税务经理/主管,4
线下运营,6
物业管理经理/主管,4
金融产品销售,2
资料员,1
运营专员,2
内容审核,3
UE4开发工程师/技术员,2
摄影师,7
法语翻译,2
PLC工程师/技术员,7
机械设计,16
投资者关系,4
电子商务网站编辑,1
检验/检测,2
中餐厨师,2
原画师,1
游戏测试,3
游戏角色设计师,1
财务顾问,2
测绘/测量,4
小程序开发工程师/技术员,1
智能驾驶工程师/技术员,3
院校教务管理人员,1
党工团干事,1
洗碗工,1
前端开发,1
电子竞技运营,1
药品注册,2
美容,1
作家/撰稿人,1
产品运营,6
照明设计,10
化妆品研发,2
语文老师,1
资产管理,1
网络主播,3
投资总监,2
区域销售代表,14
精装修工程师/技术员,1
厂务,12
基金经理/主管,1
运输经理/主管,1
跨境电商运营,1
分拣员,1
全栈工程师/技术员,3
促销经理/主管,1
视频剪辑,3
模具设计,2
临床数据分析员,1
金融产品经理/主管,1
打样/制版,1
临床研究员,1
物业设施管理人员,1
职业技术教师,1
门店销售,6
海外销售,9
主厨/厨师长,2
投资经理/主管,5
货运代理,5
BIM工程师/技术员,1
地推专员/助理,3
银行客户总监,2
团购经理/主管,2
生产计划,2
广告制作执行,1
开发报建,1
德语翻译,1
俄语翻译,1
咨询总监,4
法务总监,4
旋压工,1
育婴师,1
保育员,1
司仪,1
音乐老师,1
吹膜工,1
业务经理/主管,2
面点师,1
保险电销,1
油漆工,1
物理老师,1
医药招商,1
物流总监,1
信审核查,1
会展专员,1
药品市场推广经理/主管,1
GIS工程师/技术员,1
月嫂,1
家居设计,1
高中教师,1
3D打印操作员,1
房地产客服,2
广告客户经理/主管,1
服装/纺织/皮革跟单,1
乘务员,1
地勤人员,2
外贸销售,1
手机维修,1
机修工普工,1
服装/纺织设计总监,1
总监,1
部门经理,1
锻造工程师/技术员,1
晒版员,1
出租车司机,1
股票/期货操盘手,1
